,Band,Song,Player,Technique,Difficulty,Score
264,Iron Maiden,Wasted Years,Adrian Smith,['Distortion Guitar'],Intermediate,3/8
265,Red Hot Chili Peppers,Dani California,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
266,Black Sabbath,Heaven And Hell,Tony Iommi I,['Distortion Guitar'],Intermediate,4/8
267,Jeff Buckley,Hallelujah,,['Electric Guitar (clean)'],Intermediate,4/8
268,Scorpions,Rock You Like A Hurricane,Lead,['Distortion Guitar'],Intermediate,5/8
269,Avenged Sevenfold,Beast And The Harlot,Synyster Gates,['Distortion Guitar'],Intermediate,4/8
270,Lynyrd Skynyrd,Simple Man,Gary Rossington,"['Clean Guitar 1', 'Electric Guitar (clean)']",Beginner,2/8
271,Slipknot,Unsainted,,"['Distortion Guitar', 'Guitar 1 (Mick Thomson)']",Beginner,2/8
272,Ozzy Osbourne,No More Tears,Zakk Wylde,"['Solo', 'Distortion Guitar']",Intermediate,3/8
273,The Eagles,Hotel California (Unplugged),,"['Acoustic Guitar (nylon)', 'Guitar 1']",Intermediate,4/8
274,Guns N' Roses,Welcome To The Jungle,,"['Distortion Guitar', 'Guitar 1 (Slash)']",Intermediate,4/8
275,Sungha Jung,(Stevie Wonder) Isn't She Lovely,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,4/8
276,Muse,Hysteria,Matt Bellamy,"['Main Guitar', 'Distortion Guitar']",Intermediate,3/8
277,The Animals,The House Of The Rising Sun,Hilton Valentine,['Electric Guitar (clean)'],Intermediate,3/8
278,My Chemical Romance,Welcome To The Black Parade,,"['Distortion Guitar', 'Ray Toro (Lead Guitar)']",Intermediate,3/8
279,AC/DC,T.N.T.,Malcolm Young,"['Rhythm', 'Distortion Guitar']",Intermediate,3/8
280,Metallica,Battery,James Hetfield,"['Rhythm Guitar', 'Distortion Guitar']",Intermediate,3/8
281,Ghost B.C.,Dance Macabre,A Nameless Ghoul Right,['Distortion Guitar'],Beginner,1/8
282,Metallica,Leper Messiah,James Hetfield (Rhythm),['Distortion Guitar'],Intermediate,3/8
283,Metallica,To Live Is To Die,,['Acoustic Guitar (nylon)'],Beginner,2/8
284,Tame Impala,The Less I Know The Better,Bass Distortion,['Overdriven Guitar'],Beginner,2/8
285,Iron Maiden,Powerslave,Dave Murray,['Distortion Guitar'],Intermediate,3/8
286,Metallica,"Atlas, Rise!",,"['Distortion Guitar', 'James Hetfield (Rhythm Guitar)']",Intermediate,3/8
287,Metallica,Spit Out The Bone,J. Hetfield (Rhythm),['Distortion Guitar'],Intermediate,4/8
288,Nirvana,The Man Who Sold The World,,"['Kurt Cobain', 'Distortion Guitar', 'Guitar w/disto']",Beginner,2/8
289,Alice in Chains,Rooster,Gtr.2 (Dist.),['Distortion Guitar'],Beginner,2/8
290,Pantera,Cemetery Gates,Dimebag Darrell (Rhythm),['Distortion Guitar'],Intermediate,3/8
291,Deep Purple,Black Night,Blackmore,['Overdriven Guitar'],Intermediate,3/8
292,Metallica,Fight Fire With Fire,Kirk Hammett,['Distortion Guitar 1'],Intermediate,4/8
293,Nirvana,Breed,,"['Distortion Guitar', 'Kurt Cobain (Guitar)']",Intermediate,3/8
294,Megadeth,Wake Up Dead,Dave Mustaine,['Distortion Guitar'],Intermediate,5/8
295,Arctic Monkeys,Why'd You Only Call Me When You're High,,"['Electric Guitar (clean)', 'Alex Turner (Guitar One)']",Beginner,1/8
296,Linkin Park,Given Up,Brad Delson + Mike Shinoda,"['Distortion ', 'Distortion Guitar']",Beginner,2/8
297,Megadeth,Angry Again,Dave Mustaine,['Distortion Guitar'],Beginner,2/8
298,Smashing Pumpkins,Cherub Rock,James Iha,"['Lead Guitar', 'Distortion Guitar']",Beginner,2/8
299,Burzum,Dunkelheit,,"['Distortion Guitar', 'Right Guitar']",Beginner,2/8
300,Boston,More Than A Feeling,Tom Scholz (Acoustic),['Acoustic Guitar (steel)'],Beginner,2/8
301,Bullet For My Valentine,Hand Of Blood,Matt,['Distortion Guitar'],Intermediate,3/8
302,The Strokes,Reptilia,Nick Valensi,['Overdriven Guitar'],Intermediate,3/8
303,Metallica,Eye Of The Beholder,,"['Distortion Guitar', 'James Hetfield (Rhythm Guitar)']",Intermediate,3/8
304,Whitesnake,Still Of The Night,John Sykes (Lead),['Distortion Guitar'],Intermediate,3/8
305,AC/DC,Shoot To Thrill,Angus Young,['Distortion Guitar'],Beginner,2/8
306,Pantera,5 Minutes Alone,Dime,"['Guitar', 'Distortion Guitar']",Intermediate,3/8
307,Rush,Tom Sawyer,,"['Distortion Guitar', 'Lead Guitar-Lifeson']",Intermediate,3/8
308,Rush,Yyz,Alex Lifeson,"['Lead Guitar', 'Distortion Guitar']",Advanced,6/8
309,Metallica,Hit The Lights,James Hetfield (Rhythm),['Distortion Guitar'],Intermediate,4/8
310,Led Zeppelin,Over The Hills And Far Away,Jimmy Page,"['Guitar 1', 'Acoustic Guitar (steel)']",Intermediate,3/8
311,Metallica,The Thing That Should Not Be,James Hetfield (Rhythm),['Distortion Guitar'],Intermediate,3/8
312,Heart,Barracuda,,"['Overdriven Guitar', 'Lead Guitar']",Intermediate,3/8
313,Mastodon,Blood And Thunder,,"['Distortion Guitar', 'Guitar Lead']",Intermediate,4/8
314,Queens Of The Stone Age,No One Knows,Josh Homme (Clean),['Electric Guitar (clean)'],Beginner,2/8
315,Metallica,Moth Into Flame,Kirk Hammett (Lead),['Distortion Guitar'],Intermediate,3/8
316,Bullet For My Valentine,Tears Don't Fall,Michael Paget,['Electric Guitar (clean)'],Intermediate,4/8
317,K-On!!,Fuwa Fuwa Time,,"['Distortion Guitar', 'Guitar: Yui Hirasawa']",Beginner,2/8
318,The Smiths,This Charming Man,Johnny Marr|Lead 1,['Electric Guitar (clean)'],Intermediate,3/8
319,Jinjer,Pisces,,"['Electric Guitar (clean)', 'Clean Guitar']",Beginner,2/8
320,Metallica,No Remorse,James Hetfield,['Distortion Guitar'],Intermediate,3/8
321,Black Sabbath,N.I.B.,,"['Distortion Guitar', 'Guitarra']",Intermediate,3/8
322,Nirvana,Drain You,Kurt Cobain,['Distortion Guitar'],Beginner,1/8
323,Shingeki No Kyojin,Guren No Yumiya,,"['Distortion Guitar 1', 'Electric Guitar']",Beginner,2/8
324,Megadeth,Conquer Or Die,Kiko Loureiro,['Acoustic Guitar (nylon)'],Intermediate,5/8
325,Rammstein,"Links 2,3,4",Richard,['Distortion Guitar'],Beginner,2/8
326,Ed Sheeran,Perfect (Fingerstyle),,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,4/8
327,Tool,Forty Six & 2,,"['Adam Jones', 'Overdriven Guitar', 'Electric Guitar']",Intermediate,3/8
328,Guns N' Roses,Patience,Slash,['Acoustic Guitar (steel)'],Intermediate,3/8
329,Samurai (Cyberpunk 2077),Never Fade Away,Johny Silverhand,['Distortion Guitar'],Beginner,2/8
330,Tool,Vicarious,,"['Adam Jones', 'Distortion Guitar']",Intermediate,3/8
331,Children Of Bodom,Children Of Bodom,Alexi Laiho,['Distortion Guitar'],Intermediate,5/8
332,Deep Purple,Burn,,"['Distortion Guitar', 'Rhythm Guitar (Blackmore)']",Intermediate,3/8
333,Bring Me The Horizon,Can You Feel My Heart,L,['Distortion Guitar'],Beginner,1/8
334,Attack On Titan,Vogel Im Käfig (Acoustic),Melody,['Acoustic Guitar (steel)'],Beginner,2/8
335,Black Sabbath,NIB,Tony Iommi,"['Guitar (Left)', 'Distortion Guitar']",Intermediate,3/8
336,Fleetwood Mac,The Chain,Lindsey Buckingham,"['Guitar', 'Electric Guitar (clean)']",Intermediate,3/8
337,ZZ Top,La Grange,,"['Electric Guitar (jazz)', 'Guitar 1']",Beginner,2/8
338,Foo Fighters,The Pretender,,"['Distortion Guitar', 'Dave Grohl (Rhythm Guitar)']",Beginner,2/8
339,Vulfpeck,Dean Town,,"['Electric Guitar (clean)', 'Guitar (Theo)']",Intermediate,3/8
340,Dio,Holy Diver,Vivian Campbell,"['Rhythm Guitar (Left)', 'Distortion Guitar']",Beginner,2/8
341,Metallica,"Damage, Inc",Kirk Hammett,['Distortion Guitar'],Intermediate,4/8
342,Pink Floyd,Wish You Were Here,David Gilmour,"['12 String Effects', 'Acoustic Guitar (steel)']",Beginner,2/8
343,Green Day,Boulevard Of Broken Dreams,Billie Joe Amrstrong,"['Rhythm 3', 'Acoustic Guitar (steel)']",Intermediate,3/8
344,Metallica,The Unforgiven II,James Hetfield (Clean),['Electric Guitar (clean)'],Intermediate,3/8
345,Pink Floyd,Another Brick In The Wall (Part 2),David Gilmour,"['Rhythm Guitar (Left)', 'Electric Guitar (clean)']",Beginner,2/8
346,Death,Flesh And The Power It Holds,Chuck Schuldiner,['Distortion Guitar'],Intermediate,4/8
347,Avenged Sevenfold,Hail To The King,Rhythm [Zacky Vengeance,['Distortion Guitar'],Intermediate,3/8
348,Muse,Knights Of Cydonia,Lead,['Distortion Guitar'],Intermediate,3/8
349,Franz Ferdinand,Take Me Out,Nick McCarthy,"['Rhythm Guitar', 'Overdriven Guitar']",Beginner,2/8
350,Guns N' Roses,Nightrain,,"['Distortion Guitar', 'Guitar 1 (Slash)']",Intermediate,4/8
351,Megadeth,Trust,Dave Mustaine,['Distortion Guitar'],Beginner,2/8
352,Metallica,Whiskey In The Jar,,"['Distortion Guitar', 'Lead Guitar 2']",Intermediate,3/8
353,Cyberpunk 2077,Kerry's Song,Track 1,['Electric Guitar (jazz)'],Intermediate,3/8
354,Deep Purple,Smoke On The Water,Ritchie Blackmore,"['Rhythm Guitar', 'Distortion Guitar']",Intermediate,3/8
355,The Beatles,Come Together,George Harrison,"['Backing Guitar', 'Overdriven Guitar']",Beginner,2/8
356,Arctic Monkeys,Fluorescent Adolescent,Jamie Cook,"['Lead Guitar', 'Overdriven Guitar']",Beginner,1/8
357,Rage Against The Machine,Know Your Enemy,,"['Overdriven Guitar', 'Guitare 2']",Intermediate,3/8
358,The White Stripes,Seven Nation Army,,"['Distortion Guitar', 'Jack White (Rhythm Guitar)']",Beginner,2/8
359,Iron Maiden,Aces High,Adrian Smith,['Distortion Guitar'],Intermediate,4/8
360,All Time Low,"Dear Maria, Count Me In",Jack,['Distortion Guitar'],Beginner,2/8
361,Joy Division,Disorder,Bernard Sumner,"['Guitar', 'Overdriven Guitar']",Beginner,2/8
362,Metallica,The God That Failed,James Hetfield,"['Rhythm Guitar', 'Distortion Guitar']",Intermediate,3/8
363,My Chemical Romance,Na Na Na,Ray Toro,['Distortion Guitar'],Beginner,2/8
364,Oasis,Don't Look Back In Anger,Noel Gallagher,['Distortion Guitar'],Intermediate,3/8
365,Samurai,Chippin'in,Rhythm,['Distortion Guitar'],Beginner,2/8
366,Carcass,Heartwork,Michael Amott,['Distortion Guitar'],Intermediate,3/8
367,Type O Negative,Christian Woman,Kenny,"['Guitar 2', 'Distortion Guitar']",Intermediate,3/8
368,Entombed,Left Hand Path,,"['Distortion Guitar', 'Guitar II']",Intermediate,4/8
369,Darth Flex Fear,My New Song,Track 4,['Distortion Guitar'],Intermediate,3/8
370,Degeneration Vaginal Transmutation,Divine Enzyme,,['Distortion Guitar'],Intermediate,3/8
371,Eloveena,Kaava,Eetu,['Distortion Guitar'],Intermediate,3/8
372,Paul Gilbert,Kate Is A Star,Paul 2,['Acoustic Guitar (nylon)'],Beginner,2/8
373,Gorstomok,Backstein In Die Kinderfresse,O-Man,['Distortion Guitar 2'],Intermediate,3/8
374,Gorstomok,Der Rehmann,O-Man,['Distortion Guitar 2'],Intermediate,3/8
375,Gorstomok,Tod Und Verderben,O-Man,['Distortion Guitar 2'],Advanced,8/8
376,Gorstomok,Siofuck,Oger am Strand,['Acoustic Guitar (nylon)'],Intermediate,3/8
377,Heavy Competition 10,Written Kismet,Lead 1,['Distortion Guitar'],Advanced,6/8
378,HIM,Gone With The Sin,,['Overdriven Guitar'],Beginner,1/8
379,Rot Jungle,Red Skies,Dave Matrise,['Distortion Guitar'],Intermediate,3/8
380,Rot Jungle,Psychotric Cremation,Jim Bell,['Overdriven Guitar'],Intermediate,3/8
381,MSB Competition November 2004,Flight Of The Elephant,Track 1,['Distortion Guitar'],Intermediate,4/8
382,Alejandro Silva,Free Fall,pitch,['Distortion Guitar'],Beginner,1/8
383,Alejandro Silva,Omega,pitch,['Distortion Guitar'],Intermediate,4/8
384,Violent Dreams,Alexandros,William,['Distortion Guitar'],Intermediate,3/8
385,Antipig,Carcass  (Chapter II),,['Distortion Guitar 2'],Intermediate,3/8
386,Brou,Bakterion,,"['Distortion Guitar', 'Guitar 1']",Intermediate,4/8
387,Ivan Arnaud Garza,"Burning Earth (Killing Linkin Park, Metallica and Slayer)",Pista 4,['Overdriven Guitar'],Intermediate,3/8
388,Rotten Bitch,Conspiracy For The Eternal War,Track:,"['Guitar 2', '- Distortion Guitar']",Intermediate,4/8
389,The Damm Festival,Mass Mutilation,Track:,"['Guitar 1', '- Distortion Guitar']",Intermediate,5/8
390,Antipig,The Absolute Terrorist,,"['Distortion Guitar', 'Guitar II']",Intermediate,4/8
391,Antipig,I'm The Pig,,['Distortion Guitar 1'],Intermediate,3/8
392,Degeneration Vaginal Transmutation,Guts Her,,"['Distortion Guitar', 'Guitar ']",Intermediate,3/8
393,Degeneration Vaginal Transmutation,Vaginal D.P.,,"['Distortion Guitar', 'Guitar ']",Intermediate,4/8
394,Degeneration Vaginal Transmutation,Angel Deflorater,,['Distortion Guitar'],Intermediate,3/8
395,Degeneration Vaginal Transmutation,D.P.,,"['Distortion Guitar', 'Guitar ']",Intermediate,4/8
396,Evanescence,Taking Over Me,,"['Distortion Guitar', 'Guitar (Ben Moody)']",Beginner,2/8
397,Rickard Redgard,The Heavy One,Spår 2,['Distortion Guitar'],Intermediate,3/8
398,Van Halen,Fire In The Hole,,"['Distortion Guitar', 'Guitar 1 (/w Trans Trem -2.5)']",Intermediate,3/8
399,HIM,Venus Doom,Lead,['Electric Guitar (clean)'],Beginner,2/8
400,Buckethead,Baseball Furies,Buckethead,['Distortion Guitar'],Beginner,2/8
401,Dave Matthews Band,Space Between,Baritone Gtr. 1,['Electric Guitar (clean)'],Beginner,1/8
402,Depresszio,Utaz,Nimrod,['Distortion Guitar'],Intermediate,3/8
403,Depresszio,Vred,,"['Distortion Guitar', 'Back Guitar (Hartmann Ádám)']",Advanced,8/8
404,Depresszio,Kezdjük El!,Hartmann Ádám (Nimrod),['Distortion Guitar'],Intermediate,3/8
405,HIM,Death Is In Love With Us,Linde,['Distortion Guitar'],Beginner,2/8
406,HIM,Cyanide Sun,Lead,['Distortion Guitar'],Intermediate,3/8
407,HIM,Heartless,,"['Distortion Guitar', 'Lily Lazer (Guitar)']",Intermediate,3/8
408,HIM,Serpent Ride,Rhythm,['Distortion Guitar'],Intermediate,3/8
409,HIM,Heaven Tonight,,"['Distortion Guitar 2', 'Lily Lazer (Guitar)']",Beginner,1/8
410,HIM,The Beginning Of The End,,"['Distortion Guitar', 'Lily Lazer (Guitar)']",Beginner,1/8
411,John 5,First Victim,,"['Distortion Guitar', 'Guitar II (with Violin Bow)']",Intermediate,3/8
412,Andy Martin,Another Tragedy,,"['Distortion Guitar', 'Backing Guitar']",Intermediate,3/8
413,Metal721,Og 1,Track 3,['Overdriven Guitar'],Intermediate,3/8
414,MUCC,Kuchiki No Tou First,,"['Distortion Guitar', 'Guitar I']",Intermediate,3/8
415,No Mans Land,Menace Of Order,Overdubs,['Distortion Guitar'],Intermediate,3/8
416,Oomph!,Das Letzte Streichholz,Pista 4,['Distortion Guitar'],Beginner,2/8
417,Oomph!,Brennende Liebe,Pista 7,['Distortion Guitar'],Intermediate,3/8
418,Oomph!,Fieber,Pista 8,['Distortion Guitar'],Intermediate,3/8
419,Oomph!,Ich Will Deine Seele,,"['Distortion Guitar', 'Ryhtm guitar']",Beginner,1/8
420,Oomph!,My Darkest Cave,,"['Overdriven Guitar', 'Guitar 2']",Intermediate,3/8
421,Oomph!,Die Schlinge,,"['Overdriven Guitar', 'Lead Guitar']",Beginner,1/8
422,Timo Kotipelto,Around,Track 4,['Distortion Guitar'],Intermediate,3/8
423,Depresszio,Aki Érdekel,Ádám,['Distortion Guitar'],Beginner,2/8
424,Brian Head,Adonai,Track 2,['Distortion Guitar'],Intermediate,3/8
425,Brand New,Be Gone,Track 1,['Acoustic Guitar (steel)'],Intermediate,4/8
426,Bloody Diarrhoea,Vaga-Bond-Age,Frante,['Distortion Guitar'],Intermediate,3/8
427,Dave Matthews Band,Stay Or Leave,Track 1,['Acoustic Guitar (steel) 2'],Intermediate,4/8
428,Doom Vs,Threnode,Clean 1,['Electric Guitar (clean)'],Beginner,1/8
429,Fresh Body Shop,Angry Machine,,"['Overdriven Guitar', 'R Guitar']",Intermediate,3/8
430,Leng Tche,1-800-Apathy,Track 2,['Distortion Guitar'],Intermediate,3/8
431,Chainsaw Fisting,Cockvomit,Track 2,['Distortion Guitar'],Intermediate,5/8
432,Chainsaw Fisting,Eternal Hunt,Track 1,['Distortion Guitar'],Intermediate,4/8
433,Rompeprop,Foreskin Fart,Dirty Dr Dente,['Distortion Guitar'],Beginner,2/8
434,Rompeprop,Pikzwarteflikkerkak,Track 1,['Distortion Guitar'],Beginner,2/8
435,Rompeprop,Vaginal Luftwaffe,Track 1,['Distortion Guitar'],Beginner,2/8
436,Rompeprop,The Erected Underwater Necro Clitstomper,Track 3,['Distortion Guitar'],Intermediate,3/8
437,Revolting,Rise Of The Revolter,Lead,['Distortion Guitar'],Intermediate,3/8
438,Smes,Senor Rita,,['Distortion Guitar'],Intermediate,3/8
439,Road,Nem Rólunk Szól(Zúzús) Nem Teljes!!,Ritmus,['Distortion Guitar'],Intermediate,3/8
440,Vulgaroyal Bloodhill,Diarrea Emocional,Tagawa,['Distortion Guitar'],Beginner,2/8
441,Cavalera Conspiraci,Killing Inside,Marc Rizzo,['Distortion Guitar'],Intermediate,3/8
442,P.A.I.S.,Convalescence,,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,3/8
443,456666,12,Сируша,['Distortion Guitar'],Intermediate,5/8
444,Tantalus Spine,Death Blender By Dustin He,Dustin He,['Distortion Guitar'],Intermediate,4/8
445,Aerosmith,Girls Of Summer,,"['Electric Guitar (clean)', 'Baritone Guitar w/Tremolo']",Beginner,2/8
446,Restart,Gosto De Dar A Bunda,Pista 1,['Distortion Guitar'],Intermediate,4/8
447,Soilwork,Bastard Chain,Spår 3,['Distortion Guitar'],Intermediate,5/8
448,Equilibrium,Mana,Rythm,['Overdriven Guitar'],Beginner,1/8
449,Kingdom Of Sorrow,God's Law In The Devils Land,Track 2,['Distortion Guitar'],Intermediate,3/8
450,Black Widow Of La Porte,Black Widow Of La Porte (Ver2),B Standard Tuning Distortion,['Distortion Guitar'],Intermediate,3/8
451,Horizon 8,Exiled/Denied,Дима,['Distortion Guitar'],Intermediate,3/8
452,Pig Destroyer,Gravedancer,Track 1,['Overdriven Guitar'],Intermediate,3/8
453,№12,38,Pista 1,['Distortion Guitar'],Intermediate,3/8
454,№12,34,Pista 2,['Distortion Guitar'],Intermediate,5/8
455,Undead Corporation,Ready To Take Off,Sáv 2,['Overdriven Guitar'],Intermediate,4/8
456,Vesication,Whorange Goblin,Track 3,['Overdriven Guitar'],Intermediate,3/8
457,Vesication,Male Lactate,Track 1,['Distortion Guitar'],Intermediate,3/8
458,Vesication,Bitch Pisser,Track 1,['Overdriven Guitar'],Intermediate,4/8
459,Vesication,Rectal Fissures,,['Overdriven Guitar 1'],Intermediate,3/8
460,Pizuya's Cell x Myonmyon,Steel Of Scarlet,トラック 1,['Overdriven Guitar'],Beginner,2/8
461,Celtic Frost,Synagoga Satanae,,"['Distortion Guitar', 'Lead Guitar']",Beginner,2/8
462,Cryptopsy,Abigor,Gtr. 1,['Distortion Guitar'],Intermediate,5/8
463,Eluveitie,Alesia,,"['Overdriven Guitar', 'Guitar I']",Beginner,2/8
464,Eluveitie,Your Gaulish War,Ivo Henzi,['Distortion Guitar'],Intermediate,3/8
465,Depresszio,Te Vagy A Szerem,Ádám,['Distortion Guitar'],Intermediate,3/8
466,Cryptopsy,Mutant Christ,,"['Distortion Guitar', 'Guitar 2']",Intermediate,4/8
467,Hypocrisy,A Coming Race Ver 2,,"['Distortion Guitar', 'Guitare 3']",Intermediate,3/8
468,Cryptopsy,Cold Hate Warm Blood,Jon,['Overdriven Guitar'],Intermediate,5/8
469,Mntns,The Cult Of The Great Wheel,,"['Distortion Guitar', 'Guitar 2']",Intermediate,4/8
470,Cryptopsy,Slit Your Guts,,"['Distortion Guitar', 'Jon Levasseur rhythm 2']",Intermediate,5/8
471,Soilwork,20 More Miles,Rhythm Guiter,['Distortion Guitar'],Intermediate,4/8
472,Cephalic Carnage,Global Overhaul Device,Track 3,['Distortion Guitar'],Intermediate,3/8
473,At The Gates,With Fear I Kiss The Burning Darkness,Left,['Distortion Guitar'],Intermediate,5/8
474,Spawn Of Possession,Bodiless Sleeper,Jonas Bryssling,"['Left', 'Distortion Guitar']",Advanced,6/8
475,Cryptopsy,Emaciate,,['Distortion Guitar'],Intermediate,5/8
476,Fleshgod Apocalypse,Requiem In Si Minore,,['Distortion Guitar 2'],Beginner,2/8
477,Stefano Lombardi,Shadows Of The Black Horses,Track 1,['Distortion Guitar'],Intermediate,4/8
478,Stefano Lombardi,Mount Doom,Track 1,['Distortion Guitar'],Intermediate,3/8
479,Highways,Idk,Track 2,['Distortion Guitar'],Intermediate,3/8
480,Los Redondonditos De Ricota,El Pibe Del Los Astilleros,Max Cavalera,['Distortion Guitar'],Intermediate,3/8
481,Veil Of Maya,We Bow In Its Aura Better Version,marc okubo,"['guitar lead', 'Acoustic Guitar (steel)']",Intermediate,3/8
482,Blut Aus Nord,Epitome Xvi,,"['Electric Guitar (jazz)', 'Guitar 1']",Intermediate,3/8
483,Arise And Ruin,Bound By Blood,Track 1,['Distortion Guitar'],Intermediate,5/8
484,Back Door Asylum,Embrace The Pain,,['Distortion Guitar'],Advanced,7/8
485,Sungha Jung,Gravity,Track 1,['Acoustic Guitar (steel)'],Intermediate,5/8
486,Gazette,Derangement,Guitar 4,"['Uruha', 'Overdriven Guitar']",Intermediate,4/8
487,Eluveitie,The Essence Of Ashes,,['Distortion Guitar'],Intermediate,4/8
488,Kambodge,Иней (Iney),Track 1,['Distortion Guitar'],Intermediate,4/8
489,Amon Amarth,With Oden On Our Side Ver2,,"['Distortion Guitar', 'Guitar 1']",Intermediate,4/8
490,Exhumed,Decrepit Crescendo,Matt Harvey,['Overdriven Guitar'],Intermediate,5/8
491,Carcass,Exhume To Consume,,"['Distortion Guitar', 'Bill Steer (Guitar 3)']",Intermediate,3/8
492,Aborted,Dead Wreckoning,ceru,['Distortion Guitar'],Intermediate,5/8
493,Stefano Lombardi,When The Sun Caresses The Horizon,Chitarra 1,['Distortion Guitar'],Intermediate,3/8
494,12,23,,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,3/8
495,Edge Of Sanity,Sacrificed,,"['Distortion Guitar', 'Center Guitar']",Beginner,1/8
496,Amon Amarth,Father Of The Wolf,,"['Distortion Guitar', 'Guitar I']",Intermediate,3/8
497,Indepth,Pain For Live,Track 2,['Distortion Guitar'],Intermediate,3/8
498,Dismember,Hate Campaign,,"['Distortion Guitar', 'Lead Guitar (David Blomqvist)']",Intermediate,4/8
499,Depresszio,Annyi Ev Után,Sáv 1,['Distortion Guitar'],Intermediate,3/8
500,Sungha Jung,Fight,,['Acoustic Guitar (steel)'],Intermediate,4/8
